iteration,Accuracy
0,0.9185868319157293
1,0.9032658067515893
2,0.8203335711594424
3,0.9144082539020852
4,0.59736526082042
5,0.7217020065575873
6,0.5879970498873666
7,0.6239556360779535
8,0.5776144972382776
9,0.8383129845038921
10,0.921878131488444
11,0.5296274681139321
12,0.5858445899904602
13,0.5925538515804748
14,0.9074443045991293
15,0.598506345147145
16,0.8747783808050279
17,0.893643549434428
18,0.8290696723611323
19,0.6701690703136899
20,0.5923020498472836
21,0.7747528078177985
22,0.6776403107238198
23,0.9027610007936444
24,0.9135222581188222
25,0.9221320175403436
26,0.5910346237403902
27,0.7339837743805164
28,0.7348692090010502
29,0.5795139529104304
